customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,customer_age_days,avg_order_value,avg_days_between_orders,category_diversity,spend_trend,purchases_per_year,clv_simple,clv_predicted,clv_tier,segment,location,age_group,gender
CUST_00001,82,19,4098.5,4,5,5,4.666666666666667,441,215.71052631578948,16.5,6,-31.14633333333336,22.12121212121212,4771.78,4695.26,High Value,Champion,Los Angeles,36-45,Male
CUST_00002,589,1,199.47,1,1,1,1.0,981,199.47,365.0,1,0.0,1.0,199.47,199.3,Low Value,Lost,Los Angeles,18-25,Male
CUST_00003,753,1,52.5,1,1,1,1.0,1070,52.5,365.0,1,0.0,1.0,52.5,52.67,Low Value,Lost,New York,36-45,Female
CUST_00004,198,4,1303.06,3,2,3,2.6666666666666665,336,325.765,15.666666666666666,3,-489.04999999999995,23.29787234042553,7589.63,7636.47,Premium,Others,Houston,18-25,Other
CUST_00005,126,16,3982.49,3,4,5,4.0,814,248.90562500000001,39.13333333333333,6,-250.32375,9.327086882453152,2321.56,2324.29,High Value,Loyal Customer,Sydney,26-35,Female
CUST_00006,76,19,1937.51,4,5,4,4.333333333333333,845,101.97421052631579,39.166666666666664,6,21.46744444444444,9.319148936170214,950.31,950.59,Medium Value,Champion,Los Angeles,46-55,Female
CUST_00007,20,54,10026.0,5,5,5,5.0,867,185.66666666666666,14.39622641509434,6,-29.039999999999992,25.353866317169068,4707.37,4699.61,High Value,Champion,Chicago,36-45,Female
CUST_00008,666,1,33.6,1,1,1,1.0,953,33.6,365.0,1,0.0,1.0,33.6,33.25,Low Value,Lost,Paris,36-45,Other
CUST_00009,205,4,1533.4,3,2,3,2.6666666666666665,341,383.35,24.666666666666668,2,250.01,14.797297297297296,5672.54,5875.42,Premium,Others,Houston,46-55,Other
CUST_00010,429,3,535.94,1,2,2,1.6666666666666667,991,178.64666666666668,247.5,2,0.0,1.4747474747474747,263.46,262.36,Low Value,Lost,Berlin,36-45,Other
CUST_00011,1,54,12806.36,5,5,5,5.0,403,237.1548148148148,6.377358490566038,6,55.49777777777777,52.142857142857146,12365.93,12321.36,Premium,Champion,Sydney,36-45,Male
CUST_00012,250,3,531.6,2,2,2,2.0,337,177.20000000000002,3.5,2,0.0,52.142857142857146,9239.71,9217.98,Premium,Lost,New York,55+,Female
CUST_00013,121,1,379.0,3,1,2,2.0,182,379.0,365.0,1,0.0,1.0,379.0,382.15,Low Value,Others,New York,36-45,Male
CUST_00014,73,20,5969.08,4,5,5,4.666666666666667,537,298.454,20.63157894736842,6,252.44800000000004,17.691326530612244,5280.05,5194.72,High Value,Champion,London,55+,Female
CUST_00015,105,8,1022.67,4,3,3,3.3333333333333335,1006,127.83375,116.14285714285714,4,-144.3525,3.1426814268142684,401.74,429.51,Low Value,Loyal Customer,Los Angeles,36-45,Other
CUST_00016,130,18,3346.19,3,4,4,3.6666666666666665,491,185.89944444444444,16.88235294117647,6,164.3077777777778,21.62020905923345,4019.18,3986.81,High Value,Loyal Customer,Toronto,46-55,Female
CUST_00017,62,8,2743.35,5,3,4,4.0,663,342.91875,76.42857142857143,4,574.0725,4.775700934579439,1637.68,1654.39,Medium Value,Loyal Customer,Chicago,26-35,Female
