customer_id,last_order_date,frequency,monetary,recency,r_score,f_score,m_score,rfm_score,rfm_total,segment,signup_date,location,age_group,gender,cumulative_revenue,cumulative_pct,customer_rank_pct
CUST_04400,2023-11-01,55,21683.75,1,5,5,5,555,5.0,Champion,2023-08-25,Houston,46-55,Female,21683.75,0.16335600296164743,0.02009646302250804
CUST_03223,2023-11-01,55,21502.84,1,5,5,5,555,5.0,Champion,2021-12-02,Sydney,55+,Male,43186.59,0.3253491081544222,0.04019292604501608
CUST_03655,2023-10-29,54,19651.11,4,5,5,5,555,5.0,Champion,2021-12-04,Chicago,18-25,Female,62837.7,0.4733920796588741,0.060289389067524124
CUST_04143,2023-10-22,56,18974.76,11,5,5,5,555,5.0,Champion,2021-01-13,New York,55+,Female,81812.45999999999,0.6163397225138484,0.08038585209003216
CUST_04205,2023-10-27,58,18526.09,6,5,5,5,555,5.0,Champion,2021-06-25,London,36-45,Female,100338.54999999999,0.7559072794589223,0.10048231511254019
CUST_03108,2023-10-26,58,18113.4,7,5,5,5,555,5.0,Champion,2023-05-17,Paris,46-55,Other,118451.94999999998,0.8923658082671544,0.12057877813504825
CUST_04098,2023-10-30,55,17870.97,3,5,5,5,555,5.0,Champion,2023-07-28,Chicago,55+,Male,136322.91999999998,1.0269979742092776,0.14067524115755628
CUST_01759,2023-10-28,50,17798.76,5,5,5,5,555,5.0,Champion,2022-12-18,Toronto,55+,Male,154121.68,1.1610861412133084,0.1607717041800643
CUST_02819,2023-10-28,57,17649.39,5,5,5,5,555,5.0,Champion,2023-05-01,Paris,36-45,Female,171771.07,1.294049019180047,0.18086816720257234
CUST_00931,2023-10-22,52,17307.3,11,5,5,5,555,5.0,Champion,2022-08-22,Phoenix,36-45,Female,189078.37,1.4244347389037169,0.20096463022508038
CUST_04995,2023-10-30,53,17026.81,3,5,5,5,555,5.0,Champion,2023-01-14,Chicago,36-45,Male,206105.18,1.5527073681669856,0.22106109324758844
CUST_01607,2023-10-14,52,17013.74,19,5,5,5,555,5.0,Champion,2022-01-31,Berlin,26-35,Other,223118.91999999998,1.6808815336977954,0.2411575562700965
CUST_02250,2023-10-27,47,16823.13,6,5,5,5,555,5.0,Champion,2022-09-25,Phoenix,36-45,Other,239942.05,1.8076197258510982,0.2612540192926045
CUST_03968,2023-11-01,56,16749.0,1,5,5,5,555,5.0,Champion,2023-08-03,London,55+,Female,256691.05,1.93379945461594,0.28135048231511256
CUST_04100,2023-10-29,43,16465.08,4,5,5,5,555,5.0,Champion,2022-07-10,Chicago,18-25,Female,273156.13,2.0578402527824826,0.30144694533762056
CUST_02418,2023-10-10,42,16446.170000000002,23,5,5,5,555,5.0,Champion,2021-03-11,London,36-45,Other,289602.3,2.181738591180027,0.3215434083601286
CUST_04332,2023-10-03,55,16372.95,30,5,5,5,555,5.0,Champion,2022-02-03,Toronto,18-25,Other,305975.25,2.3050853217358993,0.3416398713826367
CUST_04292,2023-11-01,48,16257.130000000001,1,5,5,5,555,5.0,Champion,2023-09-05,New York,18-25,Other,322232.38,2.4275595144575406,0.3617363344051447
CUST_01068,2023-10-30,53,16042.72,3,5,5,5,555,5.0,Champion,2023-07-19,Sydney,55+,Other,338275.1,2.548418434885644,0.38183279742765275
CUST_02645,2023-10-31,45,16002.9,2,5,5,5,555,5.0,Champion,2023-09-17,Phoenix,36-45,Male,354278.0,2.6689773686399505,0.40192926045016075
CUST_01827,2023-10-31,56,15971.66,2,5,5,5,555,5.0,Champion,2023-09-22,Toronto,26-35,Female,370249.66,2.7893009537330467,0.42202572347266887
CUST_00172,2023-10-31,54,15921.33,2,5,5,5,555,5.0,Champion,2022-05-21,Paris,55+,Female,386170.99,2.9092453743537128,0.44212218649517687
CUST_00751,2023-10-31,50,15851.35,2,5,5,5,555,5.0,Champion,2021-10-30,Berlin,26-35,Female,402022.33999999997,3.0286625958927043,0.4622186495176849
CUST_01303,2023-10-24,58,15789.86,9,5,5,5,555,5.0,Champion,2022-09-13,Toronto,26-35,Male,417812.19999999995,3.1476165783414967,0.482315112540193
CUST_01203,2023-10-29,57,15747.06,4,5,5,5,555,5.0,Champion,2022-07-21,Sydney,55+,Male,433559.25999999995,3.2662481240841488,0.502411575562701
CUST_01442,2023-11-01,56,15731.48,1,5,5,5,555,5.0,Champion,2022-05-19,Houston,18-25,Female,449290.73999999993,3.384762296838912,0.522508038585209
CUST_01248,2023-11-01,48,15724.130000000001,1,5,5,5,555,5.0,Champion,2021-01-15,Sydney,36-45,Female,465014.86999999994,3.503221097869607,0.5426045016077171
CUST_04156,2023-10-20,47,15717.59,13,5,5,5,555,5.0,Champion,2022-03-17,Phoenix,26-35,Female,480732.45999999996,3.6216306293662326,0.5627009646302251
CUST_02858,2023-10-06,49,15709.03,27,5,5,5,555,5.0,Champion,2023-03-11,Toronto,18-25,Female,496441.49,3.739975673521631,0.5827974276527331
CUST_03728,2023-10-30,56,15697.52,3,5,5,5,555,5.0,Champion,2023-04-29,Berlin,46-55,Other,512139.01,3.8582340063104943,0.6028938906752411
CUST_00884,2023-10-30,53,15597.26,3,5,5,5,555,5.0,Champion,2022-04-06,London,55+,Male,527736.27,3.9757370235816576,0.6229903536977492
CUST_00355,2023-10-26,56,15556.37,7,5,5,5,555,5.0,Champion,2022-11-21,Sydney,55+,Female,543292.64,4.092931993261371,0.6430868167202572
CUST_02901,2023-10-25,53,15556.32,8,5,5,5,555,5.0,Champion,2022-11-08,Berlin,26-35,Female,558848.96,4.210126586262689,0.6631832797427653
CUST_02654,2023-10-31,56,15523.039999999999,2,5,5,5,555,5.0,Champion,2021-02-23,London,55+,Male,574372.0,4.32707046212428,0.6832797427652734
CUST_03162,2023-10-27,57,15515.37,6,5,5,5,555,5.0,Champion,2021-10-24,London,26-35,Male,589887.37,4.443956555520074,0.7033762057877814
CUST_03025,2023-10-31,58,15489.05,2,5,5,5,555,5.0,Champion,2023-08-08,Toronto,26-35,Male,605376.42,4.560644365408729,0.7234726688102894
CUST_02610,2023-10-20,56,15487.98,13,5,5,5,555,5.0,Champion,2022-11-24,Berlin,26-35,Male,620864.4,4.677324114379729,0.7435691318327975
CUST_01645,2023-10-31,55,15440.04,2,5,5,5,555,5.0,Champion,2022-12-11,New York,46-55,Other,636304.4400000001,4.793642704105582,0.7636655948553055
CUST_01930,2023-10-17,51,15372.42,16,5,5,5,555,5.0,Champion,2022-08-25,Berlin,18-25,Female,651676.8600000001,4.909451873970006,0.7837620578778135
CUST_01715,2023-10-31,44,15364.21,2,5,5,5,555,5.0,Champion,2023-07-24,New York,26-35,Female,667041.0700000001,5.025199193241966,0.8038585209003215
CUST_02402,2023-10-30,48,15354.75,3,5,5,5,555,5.0,Champion,2022-08-17,Chicago,46-55,Female,682395.8200000001,5.140875244961588,0.8239549839228295
CUST_01926,2023-10-30,52,15331.83,3,5,5,5,555,5.0,Champion,2022-12-15,Chicago,36-45,Male,697727.65,5.256378627304931,0.8440514469453377
CUST_00441,2023-11-01,57,15323.02,1,5,5,5,555,5.0,Champion,2022-05-30,Paris,55+,Other,713050.67,5.371815638915072,0.8641479099678457
CUST_02484,2023-10-08,57,15294.28,25,5,5,5,555,5.0,Champion,2022-03-26,Berlin,46-55,Male,728344.9500000001,5.487036135783754,0.8842443729903537
CUST_04217,2023-10-30,49,15261.33,3,5,5,5,555,5.0,Champion,2021-04-08,Sydney,55+,Male,743606.28,5.602008401590114,0.9043408360128617
CUST_02547,2023-10-30,46,15222.4,3,5,5,5,555,5.0,Champion,2022-12-21,Berlin,46-55,Female,758828.68,5.71668738559811,0.9244372990353698
CUST_00645,2023-10-08,58,15218.85,25,5,5,5,555,5.0,Champion,2021-09-12,Sydney,55+,Female,774047.53,5.83133962544006,0.9445337620578778
CUST_03229,2023-10-29,54,15172.83,4,5,5,5,555,5.0,Champion,2023-02-21,Los Angeles,55+,Male,789220.36,5.9456451704872295,0.964630225080386
CUST_01576,2023-10-15,54,15169.73,18,5,5,5,555,5.0,Champion,2021-06-02,London,18-25,Female,804390.09,6.059927361473908,0.984726688102894
CUST_01082,2023-11-01,48,15151.14,1,5,5,5,555,5.0,Champion,2022-12-15,Chicago,18-25,Female,819541.23,6.174069503433317,1.004823151125402
CUST_00851,2023-10-21,55,15149.16,12,5,5,5,555,5.0,Champion,2022-07-25,New York,18-25,Female,834690.39,6.288196728928283,1.02491961414791
CUST_00080,2023-10-22,54,15112.68,11,5,5,5,555,5.0,Champion,2021-07-16,Sydney,46-55,Female,849803.0700000001,6.40204912986624,1.045016077170418
CUST_00022,2023-10-24,55,15086.289999999999,9,5,5,5,555,5.0,Champion,2021-08-27,Los Angeles,46-55,Male,864889.3600000001,6.5157027199473045,1.065112540192926
CUST_01798,2023-10-27,54,15035.4,6,5,5,5,555,5.0,Champion,2022-11-29,Paris,26-35,Female,879924.7600000001,6.628972926757914,1.0852090032154342
CUST_04147,2023-10-22,55,15029.31,11,5,5,5,555,5.0,Champion,2021-10-09,Sydney,18-25,Female,894954.0700000002,6.74219725414001,1.1053054662379422
CUST_02367,2023-10-14,46,14949.8,19,5,5,5,555,5.0,Champion,2021-04-27,New York,36-45,Female,909903.8700000002,6.854822587538341,1.1254019292604502
CUST_02477,2023-10-26,50,14929.5,7,5,5,5,555,5.0,Champion,2022-06-01,Phoenix,18-25,Male,924833.3700000002,6.967294989508291,1.1454983922829582
CUST_02555,2023-10-25,50,14912.03,8,5,5,5,555,5.0,Champion,2022-10-24,London,26-35,Female,939745.4000000003,7.07963578004702,1.1655948553054662
CUST_01289,2023-10-28,50,14865.62,5,5,5,5,555,5.0,Champion,2022-12-04,Los Angeles,36-45,Male,954611.0200000003,7.19162693769949,1.1856913183279743
CUST_01279,2023-11-01,56,14840.13,1,5,5,5,555,5.0,Champion,2023-06-02,Houston,46-55,Other,969451.1500000003,7.303426064706177,1.2057877813504823
CUST_04644,2023-10-23,53,14833.08,10,5,5,5,555,5.0,Champion,2022-08-30,Sydney,18-25,Male,984284.2300000002,7.415172080059164,1.2258842443729905
CUST_04467,2023-10-20,44,14826.37,13,5,5,5,555,5.0,Champion,2021-07-04,Berlin,36-45,Male,999110.6000000002,7.526867545171539,1.2459807073954985
CUST_04699,2023-09-22,48,14812.5,41,5,5,5,555,5.0,Champion,2021-11-17,Berlin,55+,Other,1013923.1000000002,7.638458519697136,1.2660771704180065
CUST_02213,2023-10-15,55,14805.17,18,5,5,5,555,5.0,Champion,2021-12-26,Sydney,18-25,Male,1028728.2700000003,7.749994273170023,1.2861736334405145
CUST_02781,2023-10-24,57,14752.96,9,5,5,5,555,5.0,Champion,2022-07-12,Chicago,55+,Female,1043481.2300000002,7.861136699062825,1.3062700964630225
CUST_03696,2023-10-30,55,14748.3,3,5,5,5,555,5.0,Champion,2023-02-05,Houston,46-55,Female,1058229.5300000003,7.972244018529212,1.3263665594855305
CUST_01455,2023-10-29,56,14747.210000000001,4,5,5,5,555,5.0,Champion,2022-02-26,Los Angeles,46-55,Male,1072976.7400000002,8.083343126406588,1.3464630225080387
CUST_04187,2023-11-01,53,14730.34,1,5,5,5,555,5.0,Champion,2023-04-28,Berlin,26-35,Male,1087707.0800000003,8.194315142993483,1.3665594855305467
CUST_03536,2023-10-25,58,14670.64,8,5,5,5,555,5.0,Champion,2022-02-21,Sydney,18-25,Female,1102377.7200000002,8.30483740557672,1.3866559485530547
CUST_01986,2023-10-24,53,14640.11,9,5,5,5,555,5.0,Champion,2022-08-02,Houston,36-45,Other,1117017.8300000003,8.415129668331955,1.4067524115755627
CUST_01867,2023-10-30,47,14615.24,3,5,5,5,555,5.0,Champion,2022-02-09,Houston,46-55,Other,1131633.0700000003,8.525234571253506,1.4268488745980707
CUST_00180,2023-10-11,49,14584.960000000001,22,5,5,5,555,5.0,Champion,2021-06-13,Houston,36-45,Female,1146218.0300000003,8.635111357739031,1.4469453376205788
CUST_02703,2023-10-31,56,14578.42,2,5,5,5,555,5.0,Champion,2023-01-02,New York,55+,Female,1160796.4500000002,8.744938874690487,1.467041800643087
CUST_00591,2023-10-29,54,14544.19,4,5,5,5,555,5.0,Champion,2022-07-20,New York,18-25,Female,1175340.6400000001,8.854508517612711,1.487138263665595
CUST_00370,2023-10-17,50,14540.14,16,5,5,5,555,5.0,Champion,2022-04-05,Phoenix,18-25,Female,1189880.78,8.964047649584936,1.507234726688103
CUST_00589,2023-09-28,55,14500.98,35,5,5,5,555,5.0,Champion,2022-01-14,Sydney,36-45,Female,1204381.76,9.07329176703818,1.527331189710611
CUST_03298,2023-10-21,48,14485.41,12,5,5,5,555,5.0,Champion,2022-01-18,Chicago,55+,Other,1218867.17,9.182418586839214,1.547427652733119
CUST_04248,2023-10-25,37,14476.12,8,5,5,5,555,5.0,Champion,2021-08-01,Phoenix,55+,Female,1233343.29,9.291475419794454,1.567524115755627
CUST_00629,2023-10-27,52,14462.66,6,5,5,5,555,5.0,Champion,2021-07-01,Paris,46-55,Male,1247805.95,9.400430850925751,1.5876205787781352
CUST_01340,2023-10-24,60,14423.33,9,5,5,5,555,5.0,Champion,2021-01-03,Sydney,55+,Other,1262229.28,9.509089986831526,1.607717041800643
CUST_02522,2023-10-06,45,14395.18,27,5,5,5,555,5.0,Champion,2022-08-20,Berlin,55+,Female,1276624.46,9.617537052800902,1.6278135048231512
CUST_00604,2023-10-31,40,14385.85,2,5,5,5,555,5.0,Champion,2023-07-10,Phoenix,55+,Male,1291010.31,9.725913830581767,1.647909967845659
CUST_04836,2023-10-27,50,14335.7,6,5,5,5,555,5.0,Champion,2023-04-14,Houston,55+,Other,1305346.01,9.833912799932422,1.6680064308681672
CUST_04743,2023-10-31,53,14328.08,2,5,5,5,555,5.0,Champion,2023-04-15,Toronto,26-35,Female,1319674.09,9.941854363495677,1.6881028938906755
CUST_00434,2023-10-28,45,14326.32,5,5,5,5,555,5.0,Champion,2021-03-04,London,46-55,Other,1334000.4100000001,10.049782667979427,1.7081993569131833
CUST_01521,2023-11-01,54,14234.79,1,5,5,5,555,5.0,Champion,2023-05-12,Toronto,46-55,Male,1348235.2000000002,10.157021424993248,1.7282958199356915
CUST_02239,2023-10-27,53,14222.31,6,5,5,5,555,5.0,Champion,2021-11-29,London,18-25,Female,1362457.5100000002,10.264166163079672,1.7483922829581993
CUST_01020,2023-09-07,57,14180.91,56,5,5,5,555,5.0,Champion,2021-08-18,Los Angeles,55+,Male,1376638.4200000002,10.370999011455014,1.7684887459807075
CUST_00460,2023-10-29,54,14168.22,4,5,5,5,555,5.0,Champion,2023-08-23,Houston,55+,Female,1390806.6400000001,10.477736258853701,1.7885852090032155
CUST_00727,2023-11-01,51,14135.36,1,5,5,5,555,5.0,Champion,2022-11-18,New York,18-25,Female,1404942.0000000002,10.58422595321118,1.8086816720257235
CUST_01136,2023-10-23,44,14119.62,10,5,5,5,555,5.0,Champion,2021-10-02,Los Angeles,26-35,Female,1419061.6200000003,10.690597069209904,1.8287781350482317
CUST_02202,2023-11-01,41,14091.81,1,5,5,5,555,5.0,Champion,2023-04-30,Sydney,26-35,Male,1433153.4300000004,10.796758676685316,1.8488745980707395
CUST_03450,2023-11-01,52,14046.59,1,5,5,5,555,5.0,Champion,2021-11-02,Los Angeles,18-25,Male,1447200.0200000005,10.902579616220272,1.8689710610932477
CUST_04394,2023-10-29,51,14039.93,4,5,5,5,555,5.0,Champion,2021-11-03,New York,18-25,Female,1461239.9500000004,11.008350382193006,1.8890675241157555
CUST_00110,2023-10-12,46,14036.960000000001,21,5,5,5,555,5.0,Champion,2022-09-16,Toronto,26-35,Male,1475276.9100000004,11.11409877346908,1.9091639871382637
CUST_04401,2023-10-22,56,14013.02,11,5,5,5,555,5.0,Champion,2021-09-10,Chicago,18-25,Female,1489289.9300000004,11.219666811129613,1.929260450160772
CUST_00043,2023-11-01,55,13985.14,1,5,5,5,555,5.0,Champion,2022-12-16,Paris,46-55,Other,1503275.0700000003,11.325024812917082,1.9493569131832797
CUST_03099,2023-11-01,47,13984.34,1,5,5,5,555,5.0,Champion,2023-08-16,Chicago,26-35,Male,1517259.4100000004,11.430376787850234,1.969453376205788
CUST_02356,2023-10-29,54,13976.06,4,5,5,5,555,5.0,Champion,2023-06-11,Paris,36-45,Other,1531235.4700000004,11.535666384841168,1.9895498392282958
CUST_01366,2023-11-01,45,13973.15,1,5,5,5,555,5.0,Champion,2023-08-15,New York,55+,Female,1545208.6200000003,11.64093405914951,2.009646302250804
CUST_03711,2023-08-21,56,13965.57,73,4,5,5,455,4.666666666666667,Champion,2021-09-11,Sydney,55+,Female,1559174.1900000004,11.74614462901317,2.0297427652733115
CUST_01822,2023-07-13,48,13938.47,112,4,5,5,455,4.666666666666667,Champion,2021-07-25,Toronto,36-45,Other,1573112.6600000004,11.851151039186725,2.04983922829582
CUST_01414,2023-11-01,54,13936.37,1,5,5,5,555,5.0,Champion,2023-09-12,Houston,36-45,Other,1587049.0300000005,11.95614162886769,2.069935691318328
CUST_02740,2023-11-01,52,13861.42,1,5,5,5,555,5.0,Champion,2021-11-05,Phoenix,46-55,Male,1600910.4500000004,12.060567577634513,2.090032154340836
CUST_01276,2023-09-22,40,13849.37,41,5,5,5,555,5.0,Champion,2021-02-22,London,46-55,Male,1614759.8200000005,12.164902746908139,2.110128617363344
CUST_03682,2023-10-31,48,13848.52,2,5,5,5,555,5.0,Champion,2021-05-01,Toronto,46-55,Other,1628608.3400000005,12.269231512649048,2.130225080385852
CUST_00292,2023-11-01,57,13832.27,1,5,5,5,555,5.0,Champion,2021-11-16,Chicago,55+,Male,1642440.6100000006,12.373437857911576,2.15032154340836
CUST_00263,2023-10-29,57,13788.77,4,5,5,5,555,5.0,Champion,2021-03-29,Los Angeles,36-45,Male,1656229.3800000006,12.47731649297043,2.1704180064308685
CUST_00033,2023-08-23,31,13781.33,71,4,5,5,455,4.666666666666667,Champion,2021-08-14,Berlin,46-55,Female,1670010.7100000007,12.58113907828411,2.190514469453376
CUST_00860,2023-10-23,53,13775.69,10,5,5,5,555,5.0,Champion,2022-11-15,Toronto,36-45,Female,1683786.4000000006,12.684919174274825,2.2106109324758845
CUST_02605,2023-10-30,50,13762.45,3,5,5,5,555,5.0,Champion,2023-01-09,New York,46-55,Female,1697548.8500000006,12.788599525826541,2.230707395498392
CUST_02082,2023-10-27,56,13751.06,6,5,5,5,555,5.0,Champion,2022-08-23,London,18-25,Female,1711299.9100000006,12.892194070039872,2.2508038585209005
CUST_03979,2023-09-19,37,13727.84,44,5,5,5,555,5.0,Champion,2022-01-22,New York,18-25,Male,1725027.7500000007,12.995613684806553,2.270900321543408
CUST_00498,2023-10-24,37,13699.95,9,5,5,5,555,5.0,Champion,2021-04-13,New York,36-45,Male,1738727.7000000007,13.098823188364491,2.2909967845659165
CUST_00984,2023-10-26,50,13675.15,7,5,5,5,555,5.0,Champion,2022-08-01,Toronto,18-25,Female,1752402.8500000006,13.201845859438496,2.3110932475884245
CUST_04897,2023-10-31,43,13628.69,2,5,5,5,555,5.0,Champion,2023-02-27,New York,46-55,Other,1766031.5400000005,13.304518520947846,2.3311897106109325
CUST_01503,2023-10-28,52,13627.039999999999,5,5,5,5,555,5.0,Champion,2022-12-17,London,36-45,Female,1779658.5800000005,13.407178752070163,2.3512861736334405
CUST_00084,2023-10-15,49,13617.3,18,5,5,5,555,5.0,Champion,2022-11-09,New York,55+,Other,1793275.8800000006,13.509765606241125,2.3713826366559485
CUST_01622,2023-10-30,40,13604.05,3,5,5,5,555,5.0,Champion,2021-04-13,Berlin,18-25,Female,1806879.9300000006,13.61225264063741,2.3914790996784565
CUST_03690,2023-10-30,51,13585.4,3,5,5,5,555,5.0,Champion,2021-08-13,Phoenix,46-55,Other,1820465.3300000005,13.714599173992347,2.4115755627009645
CUST_04802,2023-11-01,52,13577.43,1,5,5,5,555,5.0,Champion,2022-11-01,Los Angeles,55+,Other,1834042.7600000005,13.816885664811117,2.4316720257234725
CUST_01266,2023-10-29,60,13576.01,4,5,5,5,555,5.0,Champion,2023-06-13,London,55+,Female,1847618.7700000005,13.919161457963472,2.451768488745981
CUST_00641,2023-11-01,56,13565.960000000001,1,5,5,5,555,5.0,Champion,2022-11-17,Toronto,55+,Other,1861184.7300000004,14.021361538758429,2.4718649517684885
CUST_04086,2023-10-14,52,13548.88,19,5,5,5,555,5.0,Champion,2022-05-18,Toronto,46-55,Male,1874733.6100000003,14.12343294621364,2.491961414790997
CUST_02771,2023-09-23,48,13546.2,40,5,5,5,555,5.0,Champion,2021-07-11,Paris,46-55,Other,1888279.8100000003,14.22548416370688,2.5120578778135045
CUST_00705,2023-10-25,44,13522.16,8,5,5,5,555,5.0,Champion,2022-03-23,Phoenix,36-45,Male,1901801.9700000002,14.327354274227796,2.532154340836013
CUST_02419,2023-09-13,41,13503.1,50,5,5,5,555,5.0,Champion,2022-04-26,Paris,18-25,Male,1915305.0700000003,14.429080794944527,2.552250803858521
CUST_01034,2023-10-26,55,13467.79,7,5,5,5,555,5.0,Champion,2022-09-29,Sydney,18-25,Male,1928772.8600000003,14.530541305378694,2.572347266881029
CUST_04513,2023-10-30,47,13450.0,3,5,5,5,555,5.0,Champion,2022-12-10,Chicago,26-35,Female,1942222.8600000003,14.63186779363991,2.592443729903537
CUST_00771,2023-10-29,55,13429.880000000001,4,5,5,5,555,5.0,Champion,2021-10-21,Phoenix,55+,Female,1955652.7400000002,14.733042706514969,2.612540192926045
CUST_03471,2023-10-26,47,13418.79,7,5,5,5,555,5.0,Champion,2021-10-22,Phoenix,46-55,Female,1969071.5300000003,14.834134072122012,2.632636655948553
CUST_00238,2023-11-01,45,13417.98,1,5,5,5,555,5.0,Champion,2022-07-07,New York,26-35,Male,1982489.5100000002,14.935219335539058,2.652733118971061
CUST_00038,2023-10-28,58,13384.51,5,5,5,5,555,5.0,Champion,2023-06-10,Sydney,46-55,Male,1995874.0200000003,15.036052450438472,2.672829581993569
