customer_id,last_order_date,frequency,monetary,recency,r_score,f_score,m_score,rfm_score,rfm_total,segment,signup_date,location,age_group,gender
CUST_00001,2023-08-12,19,4098.5,82,4,5,5,455,4.666666666666667,Champion,2022-10-17,Los Angeles,36-45,Male
CUST_00002,2022-03-23,1,199.47,589,1,1,1,111,1.0,Lost,2021-04-25,Los Angeles,18-25,Male
CUST_00003,2021-10-10,1,52.5,753,1,1,1,111,1.0,Lost,2021-01-26,New York,36-45,Female
CUST_00004,2023-04-18,4,1303.06,198,3,2,3,323,2.6666666666666665,Others,2023-01-30,Houston,18-25,Other
CUST_00005,2023-06-29,16,3982.4900000000002,126,3,4,5,345,4.0,Loyal Customer,2021-10-09,Sydney,26-35,Female
CUST_00006,2023-08-18,19,1937.51,76,4,5,4,454,4.333333333333333,Champion,2021-09-08,Los Angeles,46-55,Female
CUST_00007,2023-10-13,54,10026.0,20,5,5,5,555,5.0,Champion,2021-08-17,Chicago,36-45,Female
CUST_00008,2022-01-05,1,33.6,666,1,1,1,111,1.0,Lost,2021-05-23,Paris,36-45,Other
CUST_00009,2023-04-11,4,1533.4,205,3,2,3,323,2.6666666666666665,Others,2023-01-25,Houston,46-55,Other
CUST_00010,2022-08-30,3,535.94,429,1,2,2,122,1.6666666666666667,Lost,2021-04-15,Berlin,36-45,Other
CUST_00011,2023-11-01,54,12806.36,1,5,5,5,555,5.0,Champion,2022-11-24,Sydney,36-45,Male
CUST_00012,2023-02-25,3,531.6,250,2,2,2,222,2.0,Lost,2023-01-29,New York,55+,Female
CUST_00013,2023-07-04,1,379.0,121,3,1,2,312,2.0,Others,2023-07-03,New York,36-45,Male
CUST_00014,2023-08-21,20,5969.08,73,4,5,5,455,4.666666666666667,Champion,2022-07-13,London,55+,Female
CUST_00015,2023-07-20,8,1022.67,105,4,3,3,433,3.3333333333333335,Loyal Customer,2021-03-31,Los Angeles,36-45,Other
CUST_00016,2023-06-25,18,3346.19,130,3,4,4,344,3.6666666666666665,Loyal Customer,2022-08-28,Toronto,46-55,Female
CUST_00017,2023-09-01,8,2743.35,62,5,3,4,534,4.0,Loyal Customer,2022-03-09,Chicago,26-35,Female
CUST_00018,2023-03-30,7,485.0,217,2,3,2,232,2.3333333333333335,Others,2021-02-02,Sydney,36-45,Other
CUST_00019,2022-10-31,6,1374.38,367,1,3,3,133,2.3333333333333335,Needs Attention,2021-01-31,Los Angeles,46-55,Other
CUST_00020,2023-08-02,15,3836.9,92,4,4,5,445,4.333333333333333,Champion,2021-04-06,Houston,26-35,Male
CUST_00021,2023-02-04,3,300.64,271,2,2,1,221,1.6666666666666667,Lost,2021-08-12,Toronto,55+,Female
CUST_00022,2023-10-24,55,15086.289999999999,9,5,5,5,555,5.0,Champion,2021-08-27,Los Angeles,46-55,Male
CUST_00023,2023-07-13,17,2337.05,112,4,4,4,444,4.0,Champion,2022-06-02,Los Angeles,18-25,Other
CUST_00024,2023-08-27,17,3047.3999999999996,67,4,4,4,444,4.0,Champion,2022-09-09,Los Angeles,26-35,Male
CUST_00025,2023-03-15,4,623.1999999999999,232,2,2,2,222,2.0,Lost,2021-01-28,London,26-35,Female
CUST_00026,2022-12-14,2,177.14999999999998,323,1,1,1,111,1.0,Lost,2022-07-29,London,18-25,Male
CUST_00027,2023-08-13,18,3238.58,81,4,4,4,444,4.0,Champion,2021-07-23,Phoenix,26-35,Female
CUST_00028,2023-04-28,7,954.79,188,3,3,3,333,3.0,Loyal Customer,2023-01-04,Chicago,26-35,Female
CUST_00029,2023-04-18,7,1028.26,198,3,3,3,333,3.0,Loyal Customer,2022-10-28,Toronto,18-25,Female
CUST_00030,2023-10-12,31,5183.4400000000005,21,5,5,5,555,5.0,Champion,2022-12-20,Chicago,46-55,Other
CUST_00031,2023-04-10,6,591.87,206,3,3,2,332,2.6666666666666665,Others,2022-07-13,Chicago,36-45,Male
CUST_00032,2023-03-31,10,2586.2599999999998,216,2,4,4,244,3.3333333333333335,At Risk,2022-03-06,Los Angeles,26-35,Other
CUST_00033,2023-08-23,31,13781.33,71,4,5,5,455,4.666666666666667,Champion,2021-08-14,Berlin,46-55,Female
CUST_00034,2022-12-10,3,140.49,327,1,2,1,121,1.3333333333333333,Lost,2022-04-05,Paris,46-55,Female
CUST_00035,2023-02-14,1,33.14,261,2,1,1,211,1.3333333333333333,Lost,2022-08-27,New York,18-25,Male
CUST_00036,2022-12-12,2,88.84,325,1,1,1,111,1.0,Lost,2021-10-12,Paris,46-55,Other
CUST_00037,2023-08-30,11,922.56,64,4,4,3,443,3.6666666666666665,Loyal Customer,2023-04-09,Chicago,18-25,Male
CUST_00038,2023-10-28,58,13384.51,5,5,5,5,555,5.0,Champion,2023-06-10,Sydney,46-55,Male
CUST_00039,2022-08-25,5,1097.09,434,1,3,3,133,2.3333333333333335,Needs Attention,2021-01-07,London,36-45,Other
CUST_00040,2023-05-02,6,1051.3,184,3,3,3,333,3.0,Loyal Customer,2023-02-17,Houston,55+,Male
CUST_00041,2023-10-28,20,4942.97,5,5,5,5,555,5.0,Champion,2023-04-06,Chicago,46-55,Male
CUST_00042,2023-03-05,6,1442.35,242,2,3,3,233,2.6666666666666665,Needs Attention,2021-06-13,Toronto,46-55,Female
CUST_00043,2023-11-01,55,13985.14,1,5,5,5,555,5.0,Champion,2022-12-16,Paris,46-55,Other
CUST_00044,2022-11-14,1,163.26,353,1,1,1,111,1.0,Lost,2022-03-09,Sydney,18-25,Male
CUST_00045,2023-08-31,9,2772.63,63,4,4,4,444,4.0,Champion,2021-12-15,Houston,26-35,Male
CUST_00046,2023-01-26,6,1360.99,280,2,3,3,233,2.6666666666666665,Needs Attention,2021-10-12,Los Angeles,18-25,Male
CUST_00047,2023-07-21,17,1759.73,104,4,4,3,443,3.6666666666666665,Loyal Customer,2021-06-09,Los Angeles,36-45,Female
CUST_00048,2023-02-03,3,294.13,272,2,2,1,221,1.6666666666666667,Lost,2021-08-09,Chicago,18-25,Other
CUST_00049,2023-09-09,5,1323.35,54,5,3,3,533,3.6666666666666665,Loyal Customer,2023-09-08,Los Angeles,26-35,Female
CUST_00050,2023-08-28,17,4462.68,66,4,4,5,445,4.333333333333333,Champion,2023-02-21,Paris,36-45,Other
CUST_00051,2023-03-06,1,114.25,241,2,1,1,211,1.3333333333333333,Lost,2021-12-11,Toronto,26-35,Other
CUST_00052,2021-06-28,2,259.31,857,1,1,1,111,1.0,Lost,2021-04-15,London,26-35,Other
CUST_00053,2022-10-16,2,353.44,382,1,1,2,112,1.3333333333333333,Lost,2021-04-05,Toronto,55+,Male
CUST_00054,2022-11-17,2,802.97,350,1,1,2,112,1.3333333333333333,Lost,2022-01-25,London,36-45,Male
CUST_00055,2023-03-24,6,619.54,223,2,3,2,232,2.3333333333333335,Others,2021-04-10,Chicago,55+,Female
CUST_00056,2022-07-17,1,113.21,473,1,1,1,111,1.0,Lost,2022-01-03,Houston,55+,Female
CUST_00057,2023-10-30,24,5108.68,3,5,5,5,555,5.0,Champion,2023-05-18,Phoenix,26-35,Female
CUST_00058,2023-08-07,10,1118.8799999999999,87,4,4,3,443,3.6666666666666665,Loyal Customer,2021-12-19,Los Angeles,55+,Female
CUST_00059,2023-10-14,28,8673.68,19,5,5,5,555,5.0,Champion,2022-09-11,Houston,18-25,Other
CUST_00060,2023-08-29,10,2523.38,65,4,4,4,444,4.0,Champion,2021-09-28,Berlin,55+,Female
CUST_00061,2023-08-30,18,3034.62,64,4,4,4,444,4.0,Champion,2023-04-07,Paris,55+,Male
CUST_00062,2023-08-31,14,2196.39,63,4,4,4,444,4.0,Champion,2021-02-14,Paris,26-35,Male
CUST_00063,2023-01-21,1,46.76,285,2,1,1,211,1.3333333333333333,Lost,2023-01-18,Paris,46-55,Female
CUST_00064,2023-05-19,12,3390.67,167,3,4,4,344,3.6666666666666665,Loyal Customer,2022-04-16,Phoenix,18-25,Other
CUST_00065,2023-08-30,9,928.71,64,4,4,3,443,3.6666666666666665,Loyal Customer,2022-07-04,New York,26-35,Other
CUST_00066,2023-04-10,8,842.28,206,3,3,2,332,2.6666666666666665,Others,2021-05-08,Phoenix,46-55,Other
CUST_00067,2023-11-01,44,10629.72,1,5,5,5,555,5.0,Champion,2023-09-24,Houston,18-25,Female
CUST_00068,2023-08-04,2,223.01999999999998,90,4,1,1,411,2.0,New Customer,2023-08-03,Berlin,36-45,Male
CUST_00069,2023-10-31,41,9053.03,2,5,5,5,555,5.0,Champion,2022-01-23,Paris,18-25,Female
CUST_00070,2023-01-29,3,167.46,277,2,2,1,221,1.6666666666666667,Lost,2021-03-22,Berlin,36-45,Other
CUST_00071,2023-01-01,2,104.36,305,1,1,1,111,1.0,Lost,2022-07-20,Houston,18-25,Male
CUST_00072,2023-05-06,9,2652.28,180,3,4,4,344,3.6666666666666665,Loyal Customer,2021-10-28,Toronto,46-55,Other
CUST_00073,2023-10-25,22,3434.7799999999997,8,5,5,4,554,4.666666666666667,Champion,2023-04-30,Phoenix,36-45,Female
CUST_00074,2023-03-04,2,277.97,243,2,1,1,211,1.3333333333333333,Lost,2022-10-06,New York,55+,Other
CUST_00075,2022-12-11,3,230.81,326,1,2,1,121,1.3333333333333333,Lost,2022-09-26,Houston,18-25,Female
CUST_00076,2023-06-27,3,105.2,128,3,2,1,321,2.0,Others,2023-06-26,Sydney,36-45,Female
CUST_00077,2023-06-03,2,76.82,152,3,1,1,311,1.6666666666666667,Others,2023-06-02,Toronto,26-35,Other
CUST_00078,2023-10-22,37,5724.82,11,5,5,5,555,5.0,Champion,2022-01-06,Los Angeles,18-25,Male
CUST_00079,2023-08-06,16,1537.12,88,4,4,3,443,3.6666666666666665,Loyal Customer,2022-08-15,Houston,18-25,Female
CUST_00080,2023-10-22,54,15112.68,11,5,5,5,555,5.0,Champion,2021-07-16,Sydney,46-55,Female
CUST_00081,2023-03-05,1,455.52,242,2,1,2,212,1.6666666666666667,Lost,2022-12-23,Paris,46-55,Other
CUST_00082,2022-10-03,6,899.5,395,1,3,3,133,2.3333333333333335,Needs Attention,2021-03-13,Los Angeles,46-55,Female
CUST_00083,2023-05-26,14,1521.06,160,3,4,3,343,3.3333333333333335,Loyal Customer,2021-02-16,Berlin,36-45,Other
CUST_00084,2023-10-15,49,13617.3,18,5,5,5,555,5.0,Champion,2022-11-09,New York,55+,Other
CUST_00085,2023-06-11,8,1605.7400000000002,144,3,3,3,333,3.0,Loyal Customer,2021-08-22,London,18-25,Other
CUST_00086,2023-08-18,17,3612.23,76,4,4,4,444,4.0,Champion,2023-03-03,London,36-45,Other
CUST_00087,2022-08-25,1,315.08,434,1,1,1,111,1.0,Lost,2021-10-24,Chicago,18-25,Male
CUST_00088,2023-04-01,5,1358.69,215,2,3,3,233,2.6666666666666665,Needs Attention,2021-03-23,Toronto,55+,Male
CUST_00090,2023-01-17,7,2093.97,289,2,3,4,234,3.0,Needs Attention,2021-08-27,Toronto,36-45,Other
CUST_00091,2023-10-28,41,11037.84,5,5,5,5,555,5.0,Champion,2023-06-07,London,55+,Male
CUST_00092,2022-07-11,2,370.17999999999995,479,1,1,2,112,1.3333333333333333,Lost,2021-04-14,Berlin,26-35,Female
CUST_00093,2023-02-24,3,324.15999999999997,251,2,2,2,222,2.0,Lost,2022-01-25,Chicago,26-35,Male
CUST_00094,2023-03-09,6,1008.05,238,2,3,3,233,2.6666666666666665,Needs Attention,2021-10-12,Sydney,18-25,Male
CUST_00095,2022-09-04,1,105.29,424,1,1,1,111,1.0,Lost,2022-04-10,Los Angeles,36-45,Male
CUST_00096,2023-02-09,2,180.04,266,2,1,1,211,1.3333333333333333,Lost,2022-10-13,New York,36-45,Other
CUST_00097,2023-05-06,8,1937.54,180,3,3,4,334,3.3333333333333335,Loyal Customer,2023-05-05,Paris,18-25,Other
CUST_00098,2023-03-18,8,1615.9099999999999,229,2,3,3,233,2.6666666666666665,Needs Attention,2022-01-09,Los Angeles,18-25,Male
CUST_00099,2023-10-29,46,11444.09,4,5,5,5,555,5.0,Champion,2021-06-16,New York,55+,Male
CUST_00100,2023-10-12,25,8104.67,21,5,5,5,555,5.0,Champion,2022-01-15,Phoenix,55+,Male
CUST_00101,2023-10-29,46,12540.68,4,5,5,5,555,5.0,Champion,2021-12-30,Houston,46-55,Female
CUST_00102,2023-04-15,7,1201.11,201,3,3,3,333,3.0,Loyal Customer,2021-08-03,New York,18-25,Male
CUST_00103,2023-08-25,16,3288.0899999999997,69,4,4,4,444,4.0,Champion,2022-11-18,New York,46-55,Male
CUST_00104,2022-07-05,4,787.0999999999999,485,1,2,2,122,1.6666666666666667,Lost,2021-10-01,Toronto,36-45,Female
CUST_00105,2023-02-20,1,116.15,255,2,1,1,211,1.3333333333333333,Lost,2022-12-20,Berlin,26-35,Female
CUST_00106,2023-09-02,9,3827.65,61,5,4,5,545,4.666666666666667,Champion,2023-08-18,Phoenix,26-35,Male
CUST_00107,2023-04-17,8,1438.75,199,3,3,3,333,3.0,Loyal Customer,2022-12-01,Berlin,46-55,Other
CUST_00108,2023-01-17,3,252.89,289,2,2,1,221,1.6666666666666667,Lost,2022-10-26,Toronto,18-25,Other
CUST_00109,2023-08-26,18,2651.24,68,4,4,4,444,4.0,Champion,2021-03-15,Toronto,18-25,Female
CUST_00110,2023-10-12,46,14036.960000000001,21,5,5,5,555,5.0,Champion,2022-09-16,Toronto,26-35,Male
CUST_00111,2023-07-28,9,1427.76,97,4,4,3,443,3.6666666666666665,Loyal Customer,2022-10-13,Los Angeles,26-35,Other
CUST_00112,2023-08-13,16,3923.62,81,4,4,5,445,4.333333333333333,Champion,2021-06-25,Berlin,46-55,Other
CUST_00113,2023-02-13,3,484.40000000000003,262,2,2,2,222,2.0,Lost,2022-07-01,Berlin,46-55,Female
CUST_00114,2023-02-11,2,43.519999999999996,264,2,1,1,211,1.3333333333333333,Lost,2023-01-17,Paris,36-45,Female
CUST_00115,2023-04-06,7,1131.7,210,3,3,3,333,3.0,Loyal Customer,2021-09-08,Chicago,26-35,Male
