customer_id,signup_date,location,age_group,gender
CUST_00001,2022-10-17,Los Angeles,36-45,Male
CUST_00002,2021-04-25,Los Angeles,18-25,Male
CUST_00003,2021-01-26,New York,36-45,Female
CUST_00004,2023-01-30,Houston,18-25,Other
CUST_00005,2021-10-09,Sydney,26-35,Female
CUST_00006,2021-09-08,Los Angeles,46-55,Female
CUST_00007,2021-08-17,Chicago,36-45,Female
CUST_00008,2021-05-23,Paris,36-45,Other
CUST_00009,2023-01-25,Houston,46-55,Other
CUST_00010,2021-04-15,Berlin,36-45,Other
CUST_00011,2022-11-24,Sydney,36-45,Male
CUST_00012,2023-01-29,New York,55+,Female
CUST_00013,2023-07-03,New York,36-45,Male
CUST_00014,2022-07-13,London,55+,Female
CUST_00015,2021-03-31,Los Angeles,36-45,Other
CUST_00016,2022-08-28,Toronto,46-55,Female
CUST_00017,2022-03-09,Chicago,26-35,Female
CUST_00018,2021-02-02,Sydney,36-45,Other
CUST_00019,2021-01-31,Los Angeles,46-55,Other
CUST_00020,2021-04-06,Houston,26-35,Male
CUST_00021,2021-08-12,Toronto,55+,Female
CUST_00022,2021-08-27,Los Angeles,46-55,Male
CUST_00023,2022-06-02,Los Angeles,18-25,Other
CUST_00024,2022-09-09,Los Angeles,26-35,Male
CUST_00025,2021-01-28,London,26-35,Female
CUST_00026,2022-07-29,London,18-25,Male
CUST_00027,2021-07-23,Phoenix,26-35,Female
CUST_00028,2023-01-04,Chicago,26-35,Female
CUST_00029,2022-10-28,Toronto,18-25,Female
CUST_00030,2022-12-20,Chicago,46-55,Other
CUST_00031,2022-07-13,Chicago,36-45,Male
CUST_00032,2022-03-06,Los Angeles,26-35,Other
CUST_00033,2021-08-14,Berlin,46-55,Female
CUST_00034,2022-04-05,Paris,46-55,Female
CUST_00035,2022-08-27,New York,18-25,Male
CUST_00036,2021-10-12,Paris,46-55,Other
CUST_00037,2023-04-09,Chicago,18-25,Male
CUST_00038,2023-06-10,Sydney,46-55,Male
CUST_00039,2021-01-07,London,36-45,Other
CUST_00040,2023-02-17,Houston,55+,Male
CUST_00041,2023-04-06,Chicago,46-55,Male
CUST_00042,2021-06-13,Toronto,46-55,Female
CUST_00043,2022-12-16,Paris,46-55,Other
CUST_00044,2022-03-09,Sydney,18-25,Male
CUST_00045,2021-12-15,Houston,26-35,Male
CUST_00046,2021-10-12,Los Angeles,18-25,Male
CUST_00047,2021-06-09,Los Angeles,36-45,Female
CUST_00048,2021-08-09,Chicago,18-25,Other
CUST_00049,2023-09-08,Los Angeles,26-35,Female
CUST_00050,2023-02-21,Paris,36-45,Other
CUST_00051,2021-12-11,Toronto,26-35,Other
CUST_00052,2021-04-15,London,26-35,Other
CUST_00053,2021-04-05,Toronto,55+,Male
CUST_00054,2022-01-25,London,36-45,Male
CUST_00055,2021-04-10,Chicago,55+,Female
CUST_00056,2022-01-03,Houston,55+,Female
CUST_00057,2023-05-18,Phoenix,26-35,Female
CUST_00058,2021-12-19,Los Angeles,55+,Female
CUST_00059,2022-09-11,Houston,18-25,Other
CUST_00060,2021-09-28,Berlin,55+,Female
CUST_00061,2023-04-07,Paris,55+,Male
CUST_00062,2021-02-14,Paris,26-35,Male
CUST_00063,2023-01-18,Paris,46-55,Female
CUST_00064,2022-04-16,Phoenix,18-25,Other
CUST_00065,2022-07-04,New York,26-35,Other
CUST_00066,2021-05-08,Phoenix,46-55,Other
CUST_00067,2023-09-24,Houston,18-25,Female
CUST_00068,2023-08-03,Berlin,36-45,Male
CUST_00069,2022-01-23,Paris,18-25,Female
CUST_00070,2021-03-22,Berlin,36-45,Other
CUST_00071,2022-07-20,Houston,18-25,Male
CUST_00072,2021-10-28,Toronto,46-55,Other
CUST_00073,2023-04-30,Phoenix,36-45,Female
CUST_00074,2022-10-06,New York,55+,Other
CUST_00075,2022-09-26,Houston,18-25,Female
CUST_00076,2023-06-26,Sydney,36-45,Female
CUST_00077,2023-06-02,Toronto,26-35,Other
CUST_00078,2022-01-06,Los Angeles,18-25,Male
CUST_00079,2022-08-15,Houston,18-25,Female
CUST_00080,2021-07-16,Sydney,46-55,Female
CUST_00081,2022-12-23,Paris,46-55,Other
CUST_00082,2021-03-13,Los Angeles,46-55,Female
CUST_00083,2021-02-16,Berlin,36-45,Other
CUST_00084,2022-11-09,New York,55+,Other
CUST_00085,2021-08-22,London,18-25,Other
CUST_00086,2023-03-03,London,36-45,Other
CUST_00087,2021-10-24,Chicago,18-25,Male
CUST_00088,2021-03-23,Toronto,55+,Male
CUST_00089,2023-05-26,Paris,46-55,Female
CUST_00090,2021-08-27,Toronto,36-45,Other
CUST_00091,2023-06-07,London,55+,Male
CUST_00092,2021-04-14,Berlin,26-35,Female
CUST_00093,2022-01-25,Chicago,26-35,Male
CUST_00094,2021-10-12,Sydney,18-25,Male
CUST_00095,2022-04-10,Los Angeles,36-45,Male
CUST_00096,2022-10-13,New York,36-45,Other
CUST_00097,2023-05-05,Paris,18-25,Other
CUST_00098,2022-01-09,Los Angeles,18-25,Male
CUST_00099,2021-06-16,New York,55+,Male
CUST_00100,2022-01-15,Phoenix,55+,Male
CUST_00101,2021-12-30,Houston,46-55,Female
CUST_00102,2021-08-03,New York,18-25,Male
CUST_00103,2022-11-18,New York,46-55,Male
CUST_00104,2021-10-01,Toronto,36-45,Female
CUST_00105,2022-12-20,Berlin,26-35,Female
CUST_00106,2023-08-18,Phoenix,26-35,Male
CUST_00107,2022-12-01,Berlin,46-55,Other
CUST_00108,2022-10-26,Toronto,18-25,Other
CUST_00109,2021-03-15,Toronto,18-25,Female
CUST_00110,2022-09-16,Toronto,26-35,Male
CUST_00111,2022-10-13,Los Angeles,26-35,Other
CUST_00112,2021-06-25,Berlin,46-55,Other
CUST_00113,2022-07-01,Berlin,46-55,Female
CUST_00114,2023-01-17,Paris,36-45,Female
CUST_00115,2021-09-08,Chicago,26-35,Male
CUST_00116,2021-06-17,Phoenix,18-25,Female
CUST_00117,2022-04-19,Los Angeles,36-45,Male
CUST_00118,2022-01-24,Phoenix,46-55,Female
CUST_00119,2021-10-04,Los Angeles,46-55,Female
CUST_00120,2023-08-06,Berlin,36-45,Other
CUST_00121,2022-10-18,Houston,55+,Other
CUST_00122,2022-12-06,Chicago,26-35,Female
CUST_00123,2022-07-25,Berlin,36-45,Other
CUST_00124,2021-08-13,London,18-25,Female
CUST_00125,2022-12-03,Toronto,36-45,Other
CUST_00126,2021-11-29,Paris,55+,Female
CUST_00127,2023-05-14,Los Angeles,26-35,Other
CUST_00128,2023-02-26,Phoenix,46-55,Other
