order_id,customer_id,order_date,order_value,category,quantity,is_returned
ORD_0000001,CUST_00001,2022-10-19,756.52,Electronics,2,False
ORD_0000002,CUST_00001,2022-11-03,268.14,Sports,4,False
ORD_0000003,CUST_00001,2022-11-06,21.07,Books,5,False
ORD_0000004,CUST_00001,2022-11-07,20.81,Books,1,False
ORD_0000005,CUST_00001,2022-11-13,75.6,Home & Garden,5,False
ORD_0000006,CUST_00001,2022-11-29,18.5,Books,3,True
ORD_0000007,CUST_00001,2022-12-01,271.03,Home & Garden,4,False
ORD_0000008,CUST_00001,2022-12-08,381.41,Home & Garden,3,False
ORD_0000009,CUST_00001,2022-12-25,99.61,Beauty,4,False
ORD_0000010,CUST_00001,2023-01-03,194.74,Clothing,3,False
ORD_0000011,CUST_00001,2023-01-10,72.95,Clothing,2,False
ORD_0000012,CUST_00001,2023-01-16,141.37,Electronics,5,False
ORD_0000013,CUST_00001,2023-03-16,43.69,Clothing,4,False
ORD_0000014,CUST_00001,2023-03-25,18.08,Beauty,3,False
ORD_0000015,CUST_00001,2023-04-05,19.09,Books,4,False
ORD_0000016,CUST_00001,2023-04-18,1119.35,Electronics,5,False
ORD_0000017,CUST_00001,2023-04-23,375.91,Home & Garden,2,False
ORD_0000018,CUST_00001,2023-06-16,13.72,Beauty,2,False
ORD_0000019,CUST_00001,2023-08-06,40.43,Home & Garden,1,False
ORD_0000020,CUST_00001,2023-08-12,164.98,Home & Garden,4,False
ORD_0000021,CUST_00002,2022-03-23,199.47,Clothing,4,False
ORD_0000022,CUST_00002,2022-07-30,42.99,Books,2,True
ORD_0000023,CUST_00003,2021-10-10,52.5,Sports,3,False
ORD_0000024,CUST_00004,2023-03-02,364.31,Home & Garden,2,False
ORD_0000025,CUST_00004,2023-04-04,776.27,Electronics,3,False
ORD_0000026,CUST_00004,2023-04-06,144.81,Home & Garden,1,False
ORD_0000027,CUST_00004,2023-04-18,17.67,Books,2,False
ORD_0000028,CUST_00005,2021-11-19,143.05,Home & Garden,4,False
ORD_0000029,CUST_00005,2021-11-24,595.7,Electronics,4,False
ORD_0000030,CUST_00005,2022-04-29,31.73,Books,3,False
ORD_0000031,CUST_00005,2022-07-17,118.84,Clothing,3,False
ORD_0000032,CUST_00005,2022-08-03,989.25,Electronics,5,False
ORD_0000033,CUST_00005,2022-11-14,16.65,Home & Garden,2,True
ORD_0000034,CUST_00005,2022-12-29,95.5,Sports,1,False
ORD_0000035,CUST_00005,2023-01-18,972.75,Electronics,3,False
ORD_0000036,CUST_00005,2023-01-20,45.72,Books,1,False
ORD_0000037,CUST_00005,2023-03-11,97.41,Beauty,3,False
ORD_0000038,CUST_00005,2023-04-04,15.63,Beauty,5,False
ORD_0000039,CUST_00005,2023-04-06,70.76,Beauty,1,False
ORD_0000040,CUST_00005,2023-04-14,190.42,Sports,3,False
ORD_0000041,CUST_00005,2023-04-23,32.03,Beauty,4,False
ORD_0000042,CUST_00005,2023-06-06,37.02,Beauty,4,True
ORD_0000043,CUST_00005,2023-06-07,224.84,Clothing,3,False
ORD_0000044,CUST_00005,2023-06-28,273.65,Home & Garden,4,False
ORD_0000045,CUST_00005,2023-06-29,85.21,Sports,2,False
ORD_0000046,CUST_00006,2021-09-12,27.68,Books,1,False
ORD_0000047,CUST_00006,2021-11-15,20.58,Books,1,False
ORD_0000048,CUST_00006,2021-11-18,456.23,Electronics,4,False
ORD_0000049,CUST_00006,2021-11-26,45.91,Books,1,False
ORD_0000050,CUST_00006,2022-01-03,40.57,Books,1,False
ORD_0000051,CUST_00006,2022-01-11,52.08,Clothing,2,False
ORD_0000052,CUST_00006,2022-01-11,68.83,Beauty,4,False
ORD_0000053,CUST_00006,2022-02-15,48.65,Beauty,3,False
ORD_0000054,CUST_00006,2022-03-11,55.55,Sports,5,False
ORD_0000055,CUST_00006,2022-05-12,87.65,Sports,2,False
ORD_0000056,CUST_00006,2022-06-12,253.17,Sports,1,False
ORD_0000057,CUST_00006,2022-07-01,34.94,Beauty,4,False
ORD_0000058,CUST_00006,2022-07-22,139.25,Sports,3,False
ORD_0000059,CUST_00006,2022-08-20,91.84,Electronics,2,True
ORD_0000060,CUST_00006,2022-12-15,21.59,Home & Garden,3,False
ORD_0000061,CUST_00006,2023-02-03,246.17,Sports,1,False
ORD_0000062,CUST_00006,2023-03-18,50.14,Sports,1,False
ORD_0000063,CUST_00006,2023-03-24,39.11,Books,5,False
ORD_0000064,CUST_00006,2023-06-25,188.31,Sports,5,False
ORD_0000065,CUST_00006,2023-08-18,61.1,Home & Garden,1,False
ORD_0000066,CUST_00007,2021-09-10,56.08,Books,1,False
ORD_0000067,CUST_00007,2021-09-13,57.08,Books,5,False
ORD_0000068,CUST_00007,2021-09-26,44.61,Books,1,False
ORD_0000069,CUST_00007,2021-10-07,519.45,Electronics,4,False
ORD_0000070,CUST_00007,2021-10-13,150.97,Home & Garden,1,False
ORD_0000071,CUST_00007,2021-11-02,1427.3,Electronics,5,True
ORD_0000072,CUST_00007,2021-11-02,52.92,Sports,3,False
ORD_0000073,CUST_00007,2021-11-06,451.6,Electronics,5,False
ORD_0000074,CUST_00007,2021-11-21,52.14,Clothing,2,False
ORD_0000075,CUST_00007,2021-11-23,46.53,Books,1,False
ORD_0000076,CUST_00007,2021-11-28,745.2,Electronics,2,False
ORD_0000077,CUST_00007,2021-12-05,83.81,Beauty,4,True
ORD_0000078,CUST_00007,2021-12-12,54.38,Books,5,False
ORD_0000079,CUST_00007,2021-12-22,163.02,Clothing,2,False
ORD_0000080,CUST_00007,2022-01-05,195.58,Clothing,4,False
ORD_0000081,CUST_00007,2022-01-05,28.17,Books,2,False
ORD_0000082,CUST_00007,2022-01-21,33.52,Books,5,False
ORD_0000083,CUST_00007,2022-02-21,196.42,Clothing,1,False
